N,D,E,Noise,mse
45,164,0.5,0.2,0.1013062644463271
45,164,0.6,0.0,2.240472196342303
45,164,0.6,0.1,1.1661388174387408
45,164,0.6,0.2,0.1353314879215421
45,164,0.7,0.0,2.851413298973675
45,164,0.7,0.1,1.2311126049814671
45,164,0.7,0.2,0.2252487944064096
45,164,0.8,0.0,2.81846361471195
45,164,0.8,0.1,1.347946039074731
45,164,0.8,0.2,0.0887275563830467
45,164,0.9,0.0,2.817705109372284
45,164,0.9,0.1,1.18523717100018
45,164,0.9,0.2,0.2832494494418505
45,165,0.5,0.0,1.7033288426106823
45,165,0.5,0.1,1.509972007434211
45,165,0.5,0.2,0.3385211227753189
45,165,0.6,0.0,5.96094504828324
45,165,0.6,0.1,1.4386308317093557
45,165,0.6,0.2,0.0182095796963093
45,165,0.7,0.0,6.17865430006531
45,165,0.7,0.1,1.7239437234993051
45,165,0.7,0.2,0.1587914975158355
45,165,0.8,0.0,6.4825695238221055
45,165,0.8,0.1,2.002197577127728
45,165,0.8,0.2,0.069648814213691
45,165,0.9,0.0,6.291555714897458
45,165,0.9,0.1,0.8668897242899707
45,165,0.9,0.2,0.1753614714899445
106,86,0.5,0.0,3.0897185132034792
106,86,0.5,0.1,3.136391394610621
106,86,0.5,0.2,1.5464417853313392
106,86,0.6,0.0,3.0897185132034792
106,86,0.6,0.1,2.653092524134806
106,86,0.6,0.2,1.692784283682638
106,86,0.7,0.0,3.189351746585848
106,86,0.7,0.1,2.900006560452189
106,86,0.7,0.2,1.4220000446993648
106,86,0.8,0.0,3.0897185132034792
106,86,0.8,0.1,3.4142699146953435
106,86,0.8,0.2,2.0880308654469424
106,86,0.9,0.0,3.937940596330896
106,86,0.9,0.1,3.643617288058362
106,86,0.9,0.2,1.2583687388453484
106,87,0.5,0.0,1.7772793035448942
106,87,0.5,0.1,3.5909591244631542
106,87,0.5,0.2,1.8837530664601465
106,87,0.6,0.0,1.74977960239276
106,87,0.6,0.1,3.472880831347748
106,87,0.6,0.2,1.4316057894114458
106,87,0.7,0.0,1.8561435803326416
106,87,0.7,0.1,3.673734628486298
106,87,0.7,0.2,1.4073171464319518
106,87,0.8,0.0,1.8018641223747436
106,87,0.8,0.1,3.017894319748443
106,87,0.8,0.2,1.559182040864583
106,87,0.9,0.0,1.5058312169012869
106,87,0.9,0.1,3.0772685463881952
106,87,0.9,0.2,1.5922907060660323
107,86,0.5,0.0,3.669979595905427
107,86,0.5,0.1,3.793374336742377
107,86,0.5,0.2,2.0424440730000555
107,86,0.6,0.0,3.7468424465669807
107,86,0.6,0.1,4.163729068182448
107,86,0.6,0.2,1.3557279057172966
107,86,0.7,0.0,3.848766165897477
107,86,0.7,0.1,4.061379069952268
107,86,0.7,0.2,1.3031001870823484
